"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","value"
"pit-trial","54","1176501","0.0-1.0-1.52-0.52","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","55","1296501","0.0-1.0-1.53-0.53","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","56","1416501","0.0-1.0-1.54-0.54","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","57","1536501","0.0-1.0-1.55-0.55","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","58","1656501","0.0-1.0-1.56-0.56","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","59","1750956","0.0-1.0-1.57-0.57","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","60","1756458","0.0-1.0-1.58-0.58","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","61","1761961","0.0-1.0-1.59-0.59","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"pit-trial","62","1767465","0.0-1.0-1.60-0.60","battery-v0.2","","-1","&#9744;","elianto","#3366ff99","32","-1","0","0","","0","0","1",""
"call-function","63","1767473","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","",""
