"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pit-trial","135","805006","0.0-135.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","132","8","1","win","go","0"
"pit-trial","136","809865","0.0-136.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","133","10","3","lose","go","0"
"pit-trial","137","814729","0.0-137.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","134","8","1","win","go","0"
"pit-trial","138","819582","0.0-138.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","135","11","4","lose","no-go","0"
"pit-trial","139","824441","0.0-139.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","136","9","2","win","no-go","1"
"pit-trial","140","829305","0.0-140.0","battery-v0.2","","","-1","g","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","2","137","8","1","win","go","0"
"pit-trial","141","834167","0.0-141.0","battery-v0.2","","","-1","a","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","2","138","9","2","win","no-go","0"
"pit-trial","142","839028","0.0-142.0","battery-v0.2","","","-1","u","elianto","#f73b6a7A","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","2","139","11","4","lose","no-go","0"
"pit-trial","143","843887","0.0-143.0","battery-v0.2","","","-1","l","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","2","140","10","3","lose","go","0"
"pit-instructions","144","861826","0.0-144.0","battery-v0.2","","[{""page_index"":0,""viewing_time"":9682.700000017881},{""page_index"":1,""viewing_time"":8252.299999982119}]","17935.5","","","","","","","","","","","","","","","","",""
"pit-trial","145","866688","0.0-145.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","3","141","3","3","lose","go","0"
"pit-trial","146","871545","0.0-146.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","142","0","2","win","no-go","0"
"pit-trial","147","876403","0.0-147.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","143","2","1","win","go","0"
"pit-trial","148","881267","0.0-148.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","144","1","2","win","no-go","0"
"pit-trial","149","886253","0.0-149.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","145","0","2","win","no-go","0"
"pit-trial","150","891430","0.0-150.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","146","1","2","win","no-go","0"
"pit-trial","151","898355","0.0-151.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","147","2","1","win","go","0"
"pit-trial","152","905109","0.0-152.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","148","3","3","lose","go","1"
"pit-trial","153","911110","0.0-153.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","149","2","1","win","go","0"
"pit-trial","154","917057","0.0-154.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","3","150","3","3","lose","go","0"
"pit-trial","155","922139","0.0-155.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","151","0","2","win","no-go","0"
"pit-trial","156","928132","0.0-156.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","152","1","2","win","no-go","0"
"pit-trial","157","934393","0.0-157.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","153","0","2","win","no-go","0"
