"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pit-instructions","73","866949","0.0-1.0-10.0","battery-v0.2","[{""page_index"":0,""viewing_time"":8193.699999988079},{""page_index"":1,""viewing_time"":231813.19999998808},{""page_index"":2,""viewing_time"":9626.5},{""page_index"":3,""viewing_time"":14018.200000017881},{""page_index"":4,""viewing_time"":10757.799999982119},{""page_index"":5,""viewing_time"":8488.100000023842}]","282898.39999997616","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","74","871813","0.0-1.0-11.0-0.0","battery-v0.2","","-1","","","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","75","876672","0.0-1.0-11.0-1.0","battery-v0.2","","-1","","","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","76","881532","0.0-1.0-11.0-2.0","battery-v0.2","","-1","","","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","77","886390","0.0-1.0-11.0-3.0","battery-v0.2","","-1","","","&#9761;","elianto","#3366ff99","-1","-1","1","0","[]","0","0","2","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","78","891251","0.0-1.0-11.0-4.0","battery-v0.2","","-1","","","&#9761;","elianto","#3366ff99","-1","-1","1","+10","[]","0","0","2","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"call-function","79","891254","0.0-1.0-12.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","80","926377","0.0-1.0-13.0","battery-v0.2","[{""page_index"":0,""viewing_time"":6023.800000011921},{""page_index"":1,""viewing_time"":8545.90000000596},{""page_index"":2,""viewing_time"":4314.699999988079},{""page_index"":3,""viewing_time"":10196.200000017881},{""page_index"":4,""viewing_time"":6041.399999976158}]","35122.80000001192","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","81","931237","0.0-1.0-14.0-0.0","battery-v0.2","","-1","","","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","0","3","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","82","936095","0.0-1.0-14.0-1.0","battery-v0.2","","-1","","","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","0","3","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","83","940953","0.0-1.0-14.0-2.0","battery-v0.2","","-1","","","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","0","3","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","84","945818","0.0-1.0-14.0-3.0","battery-v0.2","","-1","","","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","[]","0","0","3","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","85","950676","0.0-1.0-14.0-4.0","battery-v0.2","","-1","","","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","[]","0","0","3","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"call-function","86","950678","0.0-1.0-15.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","87","984163","0.0-1.0-16.0","battery-v0.2","[{""page_index"":0,""viewing_time"":11260.59999999404},{""page_index"":1,""viewing_time"":10407.800000011921},{""page_index"":2,""viewing_time"":5145.199999988079},{""page_index"":3,""viewing_time"":6669.800000011921}]","33484.20000001788","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","88","989025","0.0-1.0-17.0-0.0","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","89","993884","0.0-1.0-17.0-1.0","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","90","998741","0.0-1.0-17.0-2.0","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","91","1003604","0.0-1.0-17.0-3.0","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","92","1008468","0.0-1.0-17.0-4.0","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","93","1013328","0.0-1.0-17.1-0.1","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","94","1018193","0.0-1.0-17.1-1.1","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","95","1023057","0.0-1.0-17.1-2.1","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","96","1027921","0.0-1.0-17.1-3.1","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","97","1032785","0.0-1.0-17.1-4.1","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","98","1037648","0.0-1.0-17.2-0.2","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","99","1042507","0.0-1.0-17.2-1.2","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","100","1047365","0.0-1.0-17.2-2.2","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","101","1052225","0.0-1.0-17.2-3.2","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","102","1057083","0.0-1.0-17.2-4.2","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","103","1061947","0.0-1.0-17.3-0.3","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","104","1066806","0.0-1.0-17.3-1.3","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","105","1071665","0.0-1.0-17.3-2.3","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","106","1076520","0.0-1.0-17.3-3.3","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","107","1081382","0.0-1.0-17.3-4.3","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","108","1086246","0.0-1.0-17.4-0.4","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","109","1091105","0.0-1.0-17.4-1.4","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","110","1095963","0.0-1.0-17.4-2.4","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","111","1100822","0.0-1.0-17.4-3.4","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","0","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","112","1105686","0.0-1.0-17.4-4.4","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
