"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors","sub","trial","stimulus","robot","valence","action","sham"
"pit-trial","28","863530","0.0-1.0-7.0-2.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","-10","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","29","868044","0.0-1.0-7.0-3.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","30","872558","0.0-1.0-7.0-4.0","battery-v0.2","","-1","&#9826;","elianto","#f73b6a7A","-1","-1","1","0","","0","0","3","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"call-function","31","872561","0.0-1.0-8.0","battery-v0.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-instructions","32","1856612","0.0-1.0-9.0","battery-v0.2","[{""page_index"":0,""viewing_time"":176034.19999999925},{""page_index"":1,""viewing_time"":35778.5},{""page_index"":2,""viewing_time"":16844.10000000149}]","228657.6000000015","","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","33","1859904","0.0-1.0-10.0-0.0","battery-v0.2","","785.8000000007451","&#9789;","elianto","#f73b6a7A","32","32","1","0","1286.1000000014901","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","34","1864416","0.0-1.0-10.0-1.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","35","1867612","0.0-1.0-10.0-2.0","battery-v0.2","","685.6000000014901","&#9789;","elianto","#f73b6a7A","32","32","1","0","1186","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","36","1872122","0.0-1.0-10.0-3.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","-10","","0","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","37","1876633","0.0-1.0-10.0-4.0","battery-v0.2","","-1","&#9789;","elianto","#f73b6a7A","32","-1","0","0","","0","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
"pit-trial","38","1880222","0.0-1.0-10.1-0.1","battery-v0.2","","1084.0999999977648","&#9789;","elianto","#f73b6a7A","32","32","1","0","1584.0999999977648","1","0","4","998","3&age=998&participant_ID=5&order=1","5","","","","","","","","","",""
